"";"OB_0";"OB_1";"OB_3";"OB_7";"OB_10";"OB_12";"OB_14";"OB_16";"OB_17";"OB_24";"OB_25";"OB_26";"OB_27";"OB_28";"OB_29";"OB_30";"OB_32";"OB_33";"OB_35";"OB_36";"OB_40";"OB_41";"OB_47";"OB_52";"OB_58";"OB_60";"OB_62";"OB_64";"OB_65";"OB_66";"OB_68";"OB_69";"OB_70";"OB_71";"OB_74";"OB_79";"OB_80";"OB_82";"OB_85";"OB_87";"OB_88";"OB_90"
"OB_25";-0,018121;-0,00268939;-0,0106363;-0,0449275;0,0069224;-0,0143448;-0,0208618;-0,0144282;0,0145815;-0,0152965;0;0,0376273;-0,0173501;-0,048304;0,0230044;0,049576;0,00700254;-0,00686666;0,00982818;0,00280826;-0,0155699;0,0259141;-0,00706058;0,00818643;0,0210229;-0,0235458;-0,0161016;-0,0422138;-0,0219988;-0,0118271;-0,00027065;-0,0398021;-0,00500737;-0,00977582;-0,0300719;-0,0435339;-0,0205487;-0,0403996;-0,0485061;0,000748505;0,00280045;0,0178111
"OB_26";-0,0138902;-0,00357413;0,0410828;-0,0354293;-0,0175233;-0,00951648;0,000740199;-0,0071036;-0,0089179;-0,00991409;0,0376273;0;0,00979802;-0,033692;0,0331844;-0,0257954;0,00198048;-0,016674;0,0191727;0,022568;0,01206;0,033629;0,00282412;-0,0232486;-0,0187591;-0,00468297;-0,0424206;-0,0324893;-0,0238242;-0,0102252;-0,0202298;-0,0338948;0,00263682;-0,0258384;-0,0440666;-0,0363677;-0,0214944;-0,0264333;-0,0243015;-0,00735746;0,0390245;-0,0215937
"OB_27";0,0177861;-0,00866012;0,00273747;-0,0343998;0,00673375;0,0103831;-0,00778304;0,00367607;0,0232884;-0,0066115;-0,0173501;0,00979802;0;-0,0219628;-0,0190712;-0,0188433;-0,00587114;0,0408352;-0,0227233;0,0211202;0,00775037;0,014578;-0,0154707;0,00339861;0,0104094;-0,027445;0,00464438;-0,0318649;-0,0279355;-0,0185866;-0,02773;-0,0150879;-0,0156741;-0,0139865;-0,0289783;-0,0194602;-0,00889708;-0,0495438;-0,0288276;-0,016748;-0,0295133;-0,0186492
"OB_28";-0,0335877;-0,0166676;-0,0327631;-0,0218613;-0,0223515;-0,0339206;-0,0354233;-0,0391289;-0,0373358;-0,0127893;-0,048304;-0,033692;-0,0219628;0;-0,0458921;-0,021941;-0,0297598;-0,0335291;-0,0361702;-0,037407;-0,0355906;-0,0530713;-0,0484892;0,01385;-0,0209664;-0,0400869;-0,0082839;-0,01852;-0,0275069;-0,0374699;0,0341608;-0,0317683;-0,02087;-0,013761;-0,00478047;-0,0338516;-0,00402733;-0,0312735;-0,00613102;0,00144971;0,0428518;0,000374179
"OB_29";0,0137543;0,0163439;0,0212436;-0,0476074;0,0245947;0,0023944;-0,0123577;-0,000957737;0,00316328;0,0341342;0,0230044;0,0331844;-0,0190712;-0,0458921;0;-0,0301405;-0,0110609;-0,0320793;0,0080457;0,0150835;0,00132639;0,00265837;0,0396564;-0,0144022;-0,00931624;-0,0413368;-0,0298137;-0,0268997;-0,0180066;-0,0145656;-0,0598728;-0,0178288;-0,0228752;-0,0319789;-0,0223716;-0,0187429;-0,0384923;-0,0199618;-0,0400924;-0,00111115;0,00561785;-0,0186419
"OB_30";-0,000395129;0,00856307;-0,0289987;-0,0500002;0,00753247;-0,00135606;0,00573997;-0,0178901;-0,020841;-0,0287674;0,049576;-0,0257954;-0,0188433;-0,021941;-0,0301405;0;-0,0446607;-0,0191138;-0,0201512;-0,0120128;-0,0160616;-0,00956738;0,00158552;-0,00382581;0,00558366;-0,0270827;-0,0178693;-0,0199056;-0,0326428;-0,031262;-0,0316689;-0,0166294;-0,0247747;-0,0389392;-0,035329;-0,0483424;-0,0316691;-0,0359795;-0,0138973;-0,00270215;0,00326052;-0,0218326
"OB_32";-0,00868831;-0,018372;-0,00150445;-0,0422823;-0,0287764;-0,0169476;-0,0329059;-0,0166365;-0,028571;0,0232803;0,00700254;0,00198048;-0,00587114;-0,0297598;-0,0110609;-0,0446607;0;-0,000499369;-0,0106626;0,0124151;0,0107404;-0,0133064;0,0147268;-0,0233451;-0,0349049;-0,0268739;-0,000958691;-0,0375758;0,0244215;-0,0336121;-0,0126058;-0,00498852;-0,0103233;-0,0127144;-0,00544315;-0,0184304;-0,022201;-0,0116622;-0,0202046;-0,0223479;-0,0371047;-0,00950059
"OB_33";-0,0132004;-0,0184159;-0,016353;-0,046711;0,0264736;0,0172228;-0,0278189;-0,0200027;-0,00626034;-0,0199737;-0,00686666;-0,016674;0,0408352;-0,0335291;-0,0320793;-0,0191138;-0,000499369;0;-0,0174999;-0,0288975;-0,0115775;-0,015812;-0,00731712;-0,000282106;-0,0223223;0,00378735;-0,0135806;-0,012224;0,0014914;-0,0246079;-0,0116765;0,00490896;-0,00343043;-0,0191666;-0,0253422;-0,0279197;-0,0264511;-0,0349614;-0,00597617;-0,00567023;-0,0297144;0,00406906
"OB_35";0,0202805;0,00280912;0,000453261;-0,0334283;-0,022644;-0,00240824;-0,00449646;0,000634475;-0,00536849;-0,0230742;0,00982818;0,0191727;-0,0227233;-0,0361702;0,0080457;-0,0201512;-0,0106626;-0,0174999;0;0,00378376;-0,00283819;0,0528205;0,0304726;-0,0279223;-0,0203665;-0,0431538;-0,0302929;-0,0499472;-0,00426611;-0,025124;-0,0550987;-0,0133164;-0,00599558;-0,000556048;0,0225848;-0,0198072;0,0196325;-0,029921;-0,0366855;-0,0303901;-0,04129;0,0141885
"OB_36";0,00884744;0,0167474;0,0264456;-0,0137472;-0,0107273;0,0327405;0,00952048;0,00856409;0,0114996;0,0248624;0,00280826;0,022568;0,0211202;-0,037407;0,0150835;-0,0120128;0,0124151;-0,0288975;0,00378376;0;0,0205084;-0,00435413;-0,0106672;-0,0311351;-0,0165277;-0,0336801;-0,0249786;-0,0358399;-0,0319207;-0,0118004;-0,0346138;-0,0144276;-0,026292;-0,0289247;-0,0385681;-0,0270415;-0,0199249;-0,036454;-0,0298244;-0,010429;0,00078916;-0,0273489
